Adv_ID,CH-lvl,size,level_id,name,tier,snakes,path_mode,path_count,total_unique_solutions,solves_file,solve_count,tilebag_key,tiles_json
13,,3x3,3x3-0C-AAD,AAD,0C,1,single,1,1,3x3-0C-AAD.json,1,E1_ET_LL_SH_UT,"{""E1"": 1, ""ET"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 1}"
17,T,3x3,3x3-0A-AAC,AAC,0A,1,single,1,2,3x3-0A-AAC.json,2,ET_LL_SH_UT,"{""ET"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 1}"
15,,3x3,3x3-0C-AAC,AAC,0C,1,single,1,1,3x3-0C-AAC.json,1,E1_ET_SH_SZ_UT,"{""E1"": 1, ""ET"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
16,,3x3,3x3-0A-AAB,AAB,0A,1,single,1,1,3x3-0A-AAB.json,1,ET_SH_UT_VL,"{""ET"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
18,,3x3,3x3-0C-AAB,AAB,0C,1,single,1,1,3x3-0C-AAB.json,1,E1_ET_RC_SH_UT,"{""E1"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
19,,3x3,3x3-0A-AAA,AAA,0A,1,single,1,1,3x3-0A-AAA.json,1,ET_LC_SH_UT,"{""ET"": 1, ""LC"": 1, ""SH"": 1, ""UT"": 1}"
20,,3x3,3x3-0B-AAA,AAA,0B,1,single,1,1,3x3-0B-AAA.json,1,ET_SH_SZ_UT,"{""ET"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
21,,3x3,3x3-0C-AAA,AAA,0C,1,single,1,1,3x3-0C-AAA.json,1,E1_ET_LC_SH_UT,"{""E1"": 1, ""ET"": 1, ""LC"": 1, ""SH"": 1, ""UT"": 1}"
14,,3x3,3x3-1A-AAA,AAA,1A,2,multi,2,1,3x3-1A-AAA.json,1,ETx2_SHx2,"{""ET"": 2, ""SH"": 2}"
35,,3x3,3x3-1C-AAA,AAA,1C,2,multi,2,1,3x3-1C-AAA.json,1,E1_ETx2_SHx2,"{""E1"": 1, ""ET"": 2, ""SH"": 2}"
22,,3x4,3x4-0B-ACH,ACH,0B,1,single,1,2,3x4-0B-ACH.json,2,DS_ET_LL_LR_RC_SH,"{""DS"": 1, ""ET"": 1, ""LL"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1}"
23,,3x4,3x4-0B-ACG,ACG,0B,1,single,1,2,3x4-0B-ACG.json,2,ET_LRx2_SH_SZ_VL,"{""ET"": 1, ""LR"": 2, ""SH"": 1, ""SZ"": 1, ""VL"": 1}"
24,,3x4,3x4-0B-ACF,ACF,0B,1,single,1,2,3x4-0B-ACF.json,2,DC_ET_LLx2_SH_UT,"{""DC"": 1, ""ET"": 1, ""LL"": 2, ""SH"": 1, ""UT"": 1}"
25,,3x4,3x4-0B-ACE,ACE,0B,1,single,1,1,3x4-0B-ACE.json,1,ET_LL_RC_SH_SS_SZ,"{""ET"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1, ""SZ"": 1}"
26,,3x4,3x4-0B-ACD,ACD,0B,1,single,1,1,3x4-0B-ACD.json,1,ET_LL_LR_SH_SZ_VL,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""SH"": 1, ""SZ"": 1, ""VL"": 1}"
26,,3x4,3x4-0B-ACC,ACC,0B,1,single,1,2,3x4-0B-ACC.json,2,ET_LL_LRx2_SH_SZ,"{""ET"": 1, ""LL"": 1, ""LR"": 2, ""SH"": 1, ""SZ"": 1}"
27,,3x4,3x4-0B-ACB,ACB,0B,1,single,1,2,3x4-0B-ACB.json,2,DC_ET_LL_RC_SH_UT,"{""DC"": 1, ""ET"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
28,,3x4,3x4-0B-ACA,ACA,0B,1,single,1,1,3x4-0B-ACA.json,1,DC_ET_LL_SH_SZ_UT,"{""DC"": 1, ""ET"": 1, ""LL"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
29,,3x4,3x4-0B-ABZ,ABZ,0B,1,single,1,1,3x4-0B-ABZ.json,1,ET_LC_LL_SH_SZ_UT,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
30,,3x4,3x4-0B-ABY,ABY,0B,1,single,1,1,3x4-0B-ABY.json,1,ET_LLx2_SH_SS_SZ,"{""ET"": 1, ""LL"": 2, ""SH"": 1, ""SS"": 1, ""SZ"": 1}"
31,,3x4,3x4-0B-ABX,ABX,0B,1,single,1,1,3x4-0B-ABX.json,1,ET_LLx2_SH_SZ_VL,"{""ET"": 1, ""LL"": 2, ""SH"": 1, ""SZ"": 1, ""VL"": 1}"
32,,3x4,3x4-0B-ABW,ABW,0B,1,single,1,1,3x4-0B-ABW.json,1,ET_LC_LR_SH_SZx2,"{""ET"": 1, ""LC"": 1, ""LR"": 1, ""SH"": 1, ""SZ"": 2}"
33,,3x4,3x4-0B-ABV,ABV,0B,1,single,1,1,3x4-0B-ABV.json,1,ET_LC_LRx2_SH_SZ,"{""ET"": 1, ""LC"": 1, ""LR"": 2, ""SH"": 1, ""SZ"": 1}"
34,,3x4,3x4-0B-ABU,ABU,0B,1,single,1,1,3x4-0B-ABU.json,1,ET_LC_LL_SH_SZx2,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""SH"": 1, ""SZ"": 2}"
36,T,3x4,3x4-0B-ABT,ABT,0B,1,single,1,2,3x4-0B-ABT.json,2,ET_LC_LL_LR_SH_SZ,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""LR"": 1, ""SH"": 1, ""SZ"": 1}"
37,,3x4,3x4-0B-ABS,ABS,0B,1,single,1,1,3x4-0B-ABS.json,1,ET_LC_LLx2_SH_SZ,"{""ET"": 1, ""LC"": 1, ""LL"": 2, ""SH"": 1, ""SZ"": 1}"
38,,3x4,3x4-0B-ABR,ABR,0B,1,single,1,1,3x4-0B-ABR.json,1,ET_LC_LR_SH_SZ_VL,"{""ET"": 1, ""LC"": 1, ""LR"": 1, ""SH"": 1, ""SZ"": 1, ""VL"": 1}"
39,,3x4,3x4-0B-ABQ,ABQ,0B,1,single,1,2,3x4-0B-ABQ.json,2,ET_LC_LL_SH_SZ_VL,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""SH"": 1, ""SZ"": 1, ""VL"": 1}"
40,,3x4,3x4-0B-ABP,ABP,0B,1,single,1,1,3x4-0B-ABP.json,1,ET_LR_RC_SH_SS_SZ,"{""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1, ""SZ"": 1}"
41,,3x4,3x4-0B-ABO,ABO,0B,1,single,1,1,3x4-0B-ABO.json,1,ET_LRx2_RC_SH_SS,"{""ET"": 1, ""LR"": 2, ""RC"": 1, ""SH"": 1, ""SS"": 1}"
42,,3x4,3x4-0B-ABN,ABN,0B,1,single,1,2,3x4-0B-ABN.json,2,ET_LL_LR_RC_SH_SS,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1}"
43,,3x4,3x4-0B-ABM,ABM,0B,1,single,1,1,3x4-0B-ABM.json,1,ET_LL_LR_RC_SH_SZ,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SZ"": 1}"
44,,3x4,3x4-0B-ABL,ABL,0B,1,single,1,2,3x4-0B-ABL.json,2,ET_LLx2_RC_SH_SS,"{""ET"": 1, ""LL"": 2, ""RC"": 1, ""SH"": 1, ""SS"": 1}"
45,,3x4,3x4-0B-ABK,ABK,0B,1,single,1,1,3x4-0B-ABK.json,1,ET_LR_RC_SH_SS_VL,"{""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1, ""VL"": 1}"
46,,3x4,3x4-0B-ABJ,ABJ,0B,1,single,1,1,3x4-0B-ABJ.json,1,ET_LL_RC_SH_SS_VL,"{""ET"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1, ""VL"": 1}"
47,,3x4,3x4-0B-ABI,ABI,0B,1,single,1,1,3x4-0B-ABI.json,1,ET_LC_LR_RC_SH_SZ,"{""ET"": 1, ""LC"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SZ"": 1}"
48,,3x4,3x4-0A-ABH,ABH,0A,1,single,1,2,3x4-0A-ABH.json,2,ET_LL_LRx2_SH_VL,"{""ET"": 1, ""LL"": 1, ""LR"": 2, ""SH"": 1, ""VL"": 1}"
49,,3x4,3x4-0B-ABH,ABH,0B,1,single,1,1,3x4-0B-ABH.json,1,ET_LC_LL_RC_SH_SZ,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""SZ"": 1}"
50,,3x4,3x4-0A-ABG,ABG,0A,1,single,1,1,3x4-0A-ABG.json,1,ET_LR_RC_SH_UT_VL,"{""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
51,,3x4,3x4-0B-ABG,ABG,0B,1,single,1,1,3x4-0B-ABG.json,1,ET_LC_RC_SH_SZ_VL,"{""ET"": 1, ""LC"": 1, ""RC"": 1, ""SH"": 1, ""SZ"": 1, ""VL"": 1}"
52,,3x4,3x4-0A-ABF,ABF,0A,1,single,1,3,3x4-0A-ABF.json,3,ET_LL_LR_RC_SH_VL,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""VL"": 1}"
53,,3x4,3x4-0B-ABF,ABF,0B,1,single,1,1,3x4-0B-ABF.json,1,ET_LR_RCx2_SH_SS,"{""ET"": 1, ""LR"": 1, ""RC"": 2, ""SH"": 1, ""SS"": 1}"
54,,3x4,3x4-0A-ABE,ABE,0A,1,single,1,1,3x4-0A-ABE.json,1,ET_LL_LR_SH_UT_VL,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
55,,3x4,3x4-0B-ABE,ABE,0B,1,single,1,1,3x4-0B-ABE.json,1,ET_LL_RCx2_SH_SS,"{""ET"": 1, ""LL"": 1, ""RC"": 2, ""SH"": 1, ""SS"": 1}"
56,,3x4,3x4-0A-ABD,ABD,0A,1,single,1,2,3x4-0A-ABD.json,2,ET_LL_LR_RC_SH_UT,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
58,,3x4,3x4-0B-ABD,ABD,0B,1,single,1,2,3x4-0B-ABD.json,2,DS_ET_LC_RCx2_SH,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""RC"": 2, ""SH"": 1}"
59,,3x4,3x4-0A-ABC,ABC,0A,1,single,1,1,3x4-0A-ABC.json,1,ET_LRx3_SH_VL,"{""ET"": 1, ""LR"": 3, ""SH"": 1, ""VL"": 1}"
60,,3x4,3x4-0B-ABC,ABC,0B,1,single,1,1,3x4-0B-ABC.json,1,DS_ET_LR_SH_SZ_UT,"{""DS"": 1, ""ET"": 1, ""LR"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
61,,3x4,3x4-0A-ABB,ABB,0A,1,single,1,1,3x4-0A-ABB.json,1,ET_LLx3_SH_VL,"{""ET"": 1, ""LL"": 3, ""SH"": 1, ""VL"": 1}"
62,,3x4,3x4-0B-ABB,ABB,0B,1,single,1,1,3x4-0B-ABB.json,1,ET_LRx2_SH_SZ_UT,"{""ET"": 1, ""LR"": 2, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
63,,3x4,3x4-0B-ABA,ABA,0B,1,single,1,2,3x4-0B-ABA.json,2,DS_ET_LL_LR_SH_UT,"{""DS"": 1, ""ET"": 1, ""LL"": 1, ""LR"": 1, ""SH"": 1, ""UT"": 1}"
64,,3x4,3x4-0A-ABA,ABA,0A,1,single,1,1,3x4-0A-ABA.json,1,ET_LRx2_SH_VLx2,"{""ET"": 1, ""LR"": 2, ""SH"": 1, ""VL"": 2}"
65,,3x4,3x4-0A-AAZ,AAZ,0A,1,single,1,1,3x4-0A-AAZ.json,1,ET_LL_LR_SH_VLx2,"{""ET"": 1, ""LL"": 1, ""LR"": 1, ""SH"": 1, ""VL"": 2}"
66,,3x4,3x4-0B-AAZ,AAZ,0B,1,single,1,1,3x4-0B-AAZ.json,1,ET_LLx2_QC_SH_UT,"{""ET"": 1, ""LL"": 2, ""QC"": 1, ""SH"": 1, ""UT"": 1}"
67,,3x4,3x4-0A-AAY,AAY,0A,1,single,1,1,3x4-0A-AAY.json,1,ET_LLx2_SH_VLx2,"{""ET"": 1, ""LL"": 2, ""SH"": 1, ""VL"": 2}"
68,,3x4,3x4-0B-AAY,AAY,0B,1,single,1,1,3x4-0B-AAY.json,1,DS_ET_LR_SH_UT_VL,"{""DS"": 1, ""ET"": 1, ""LR"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
69,,3x4,3x4-0A-AAX,AAX,0A,1,single,1,1,3x4-0A-AAX.json,1,ET_LCx2_LRx2_SH,"{""ET"": 1, ""LC"": 2, ""LR"": 2, ""SH"": 1}"
70,,3x4,3x4-0B-AAX,AAX,0B,1,single,1,1,3x4-0B-AAX.json,1,DC_ET_LL_SH_UT_VL,"{""DC"": 1, ""ET"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
71,,3x4,3x4-0A-AAW,AAW,0A,1,single,1,1,3x4-0A-AAW.json,1,ET_LL_LRx2_RC_SH,"{""ET"": 1, ""LL"": 1, ""LR"": 2, ""RC"": 1, ""SH"": 1}"
72,,3x4,3x4-0B-AAW,AAW,0B,1,single,1,1,3x4-0B-AAW.json,1,DS_ET_LC_SH_SZ_UT,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
73,,3x4,3x4-0A-AAV,AAV,0A,1,single,1,1,3x4-0A-AAV.json,1,ET_LLx2_LR_RC_SH,"{""ET"": 1, ""LL"": 2, ""LR"": 1, ""RC"": 1, ""SH"": 1}"
74,,3x4,3x4-0B-AAV,AAV,0B,1,single,1,1,3x4-0B-AAV.json,1,DS_ET_LC_LR_SH_UT,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""LR"": 1, ""SH"": 1, ""UT"": 1}"
75,,3x4,3x4-0A-AAU,AAU,0A,1,single,1,1,3x4-0A-AAU.json,1,ET_LRx2_RC_SH_VL,"{""ET"": 1, ""LR"": 2, ""RC"": 1, ""SH"": 1, ""VL"": 1}"
76,,3x4,3x4-0B-AAU,AAU,0B,1,single,1,1,3x4-0B-AAU.json,1,ET_LC_LR_SH_SZ_UT,"{""ET"": 1, ""LC"": 1, ""LR"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
77,,3x4,3x4-0A-AAT,AAT,0A,1,single,1,1,3x4-0A-AAT.json,1,ET_LLx2_RC_SH_VL,"{""ET"": 1, ""LL"": 2, ""RC"": 1, ""SH"": 1, ""VL"": 1}"
78,,3x4,3x4-0B-AAT,AAT,0B,1,single,1,1,3x4-0B-AAT.json,1,DS_ET_LC_LL_SH_UT,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 1}"
79,,3x4,3x4-0A-AAS,AAS,0A,1,single,1,1,3x4-0A-AAS.json,1,ET_LR_RC_SH_VLx2,"{""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""VL"": 2}"
99,,3x4,3x4-0B-AAS,AAS,0B,1,single,1,1,3x4-0B-AAS.json,1,DS_ET_LC_SH_UT_VL,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
81,,3x4,3x4-0A-AAR,AAR,0A,1,single,1,1,3x4-0A-AAR.json,1,ET_LC_LR_RC_SH_VL,"{""ET"": 1, ""LC"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""VL"": 1}"
82,,3x4,3x4-0B-AAR,AAR,0B,1,single,1,1,3x4-0B-AAR.json,1,DC_ET_RC_SH_SZ_UT,"{""DC"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
83,,3x4,3x4-0A-AAQ,AAQ,0A,1,single,1,1,3x4-0A-AAQ.json,1,ET_LC_RC_SH_VLx2,"{""ET"": 1, ""LC"": 1, ""RC"": 1, ""SH"": 1, ""VL"": 2}"
84,,3x4,3x4-0B-AAQ,AAQ,0B,1,single,1,1,3x4-0B-AAQ.json,1,DC_ET_LR_RC_SH_UT,"{""DC"": 1, ""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
85,,3x4,3x4-0A-AAP,AAP,0A,1,single,1,1,3x4-0A-AAP.json,1,ET_LL_RCx2_SH_VL,"{""ET"": 1, ""LL"": 1, ""RC"": 2, ""SH"": 1, ""VL"": 1}"
86,,3x4,3x4-0B-AAP,AAP,0B,1,single,1,1,3x4-0B-AAP.json,1,ET_LR_QC_RC_SH_UT,"{""ET"": 1, ""LR"": 1, ""QC"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
57,T,3x4,3x4-0B-AAO,AAO,0B,1,single,1,2,3x4-0B-AAO.json,2,DS_ET_LR_RC_SH_UT,"{""DS"": 1, ""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
88,,3x4,3x4-0A-AAO,AAO,0A,1,single,1,1,3x4-0A-AAO.json,1,ET_LC_RCx2_SH_VL,"{""ET"": 1, ""LC"": 1, ""RC"": 2, ""SH"": 1, ""VL"": 1}"
89,,3x4,3x4-0A-AAN,AAN,0A,1,single,1,1,3x4-0A-AAN.json,1,ET_LLx3_SH_UT,"{""ET"": 1, ""LL"": 3, ""SH"": 1, ""UT"": 1}"
90,,3x4,3x4-0B-AAN,AAN,0B,1,single,1,1,3x4-0B-AAN.json,1,ET_LR_RC_SH_SS_UT,"{""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1, ""UT"": 1}"
91,,3x4,3x4-0A-AAM,AAM,0A,1,single,1,1,3x4-0A-AAM.json,1,ET_LRx2_SH_UT_VL,"{""ET"": 1, ""LR"": 2, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
92,,3x4,3x4-0B-AAM,AAM,0B,1,single,1,1,3x4-0B-AAM.json,1,ET_LR_RC_SH_SZ_UT,"{""ET"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}"
93,,3x4,3x4-0A-AAL,AAL,0A,1,single,1,1,3x4-0A-AAL.json,1,ET_LLx2_SH_UT_VL,"{""ET"": 1, ""LL"": 2, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
94,,3x4,3x4-0B-AAL,AAL,0B,1,single,1,1,3x4-0B-AAL.json,1,DS_ET_LL_RC_SH_UT,"{""DS"": 1, ""ET"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
95,,3x4,3x4-0A-AAK,AAK,0A,1,single,1,1,3x4-0A-AAK.json,1,ET_HL_LCx2_SH_UT,"{""ET"": 1, ""HL"": 1, ""LC"": 2, ""SH"": 1, ""UT"": 1}"
96,,3x4,3x4-0B-AAK,AAK,0B,1,single,1,1,3x4-0B-AAK.json,1,ET_LL_RC_SH_SS_UT,"{""ET"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""SS"": 1, ""UT"": 1}"
97,,3x4,3x4-0A-AAJ,AAJ,0A,1,single,1,1,3x4-0A-AAJ.json,1,ET_LRx2_RC_SH_UT,"{""ET"": 1, ""LR"": 2, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
98,,3x4,3x4-0B-AAJ,AAJ,0B,1,single,1,1,3x4-0B-AAJ.json,1,DC_ET_RC_SH_UT_VL,"{""DC"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
80,T,3x4,3x4-0B-AAI,AAI,0B,1,single,1,2,3x4-0B-AAI.json,2,DB_DS_ET_RC_SH_UT,"{""DB"": 1, ""DS"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
100,,3x4,3x4-0A-AAI,AAI,0A,1,single,1,1,3x4-0A-AAI.json,1,ET_HL_LL_RC_SH_UT,"{""ET"": 1, ""HL"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
101,,3x4,3x4-1A-AAI,AAI,1A,2,multi,2,1,3x4-1A-AAI.json,1,ETx2_LC_SHx2_UT,"{""ET"": 2, ""LC"": 1, ""SH"": 2, ""UT"": 1}"
102,,3x4,3x4-0A-AAH,AAH,0A,1,single,1,1,3x4-0A-AAH.json,1,ET_LC_LL_RC_SH_UT,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
103,,3x4,3x4-0B-AAH,AAH,0B,1,single,1,1,3x4-0B-AAH.json,1,ET_LC_QC_RC_SH_UT,"{""ET"": 1, ""LC"": 1, ""QC"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
104,,3x4,3x4-1A-AAH,AAH,1A,1,multi,1,1,3x4-1A-AAH.json,1,E1x2_ES_ET_QC_SHx2,"{""E1"": 2, ""ES"": 1, ""ET"": 1, ""QC"": 1, ""SH"": 2}"
106,,3x4,3x4-0A-AAG,AAG,0A,1,single,1,1,3x4-0A-AAG.json,1,ET_LC_RC_SH_UT_VL,"{""ET"": 1, ""LC"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}"
87,,3x4,3x4-0B-AAG,AAG,0B,1,single,1,1,3x4-0B-AAG.json,1,DS_ET_LC_RC_SH_UT,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
107,,3x4,3x4-0C-AAG,AAG,0C,1,single,1,1,3x4-0C-AAG.json,1,CQ_ET_LC_LR_SH_UT,"{""CQ"": 1, ""ET"": 1, ""LC"": 1, ""LR"": 1, ""SH"": 1, ""UT"": 1}"
108,,3x4,3x4-1A-AAG,AAG,1A,2,multi,2,1,3x4-1A-AAG.json,1,ETx2_LRx2_SHx2,"{""ET"": 2, ""LR"": 2, ""SH"": 2}"
105,T,3x4,3x4-0A-AAF,AAF,0A,1,single,1,3,3x4-0A-AAF.json,3,ET_LC_LL_LR_RC_SH,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""LR"": 1, ""RC"": 1, ""SH"": 1}"
109,,3x4,3x4-0B-AAF,AAF,0B,1,single,1,1,3x4-0B-AAF.json,1,DC_ET_RCx2_SH_UT,"{""DC"": 1, ""ET"": 1, ""RC"": 2, ""SH"": 1, ""UT"": 1}"
110,,3x4,3x4-1A-AAF,AAF,1A,1,multi,1,1,3x4-1A-AAF.json,1,ES_ET_LC_LR_SHx2,"{""ES"": 1, ""ET"": 1, ""LC"": 1, ""LR"": 1, ""SH"": 2}"
111,,3x4,3x4-0A-AAE,AAE,0A,1,single,1,2,3x4-0A-AAE.json,2,ET_LLx2_LR_SH_VL,"{""ET"": 1, ""LL"": 2, ""LR"": 1, ""SH"": 1, ""VL"": 1}"
112,,3x4,3x4-0B-AAE,AAE,0B,1,single,1,1,3x4-0B-AAE.json,1,DS_ET_LR_SH_UTx2,"{""DS"": 1, ""ET"": 1, ""LR"": 1, ""SH"": 1, ""UT"": 2}"
113,,3x4,3x4-0C-AAE,AAE,0C,1,single,1,1,3x4-0C-AAE.json,1,E2_ET_LC_LL_RC_SH,"{""E2"": 1, ""ET"": 1, ""LC"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1}"
114,,3x4,3x4-1A-AAE,AAE,1A,2,multi,2,1,3x4-1A-AAE.json,1,ETx2_LL_SHx2_UT,"{""ET"": 2, ""LL"": 1, ""SH"": 2, ""UT"": 1}"
115,,3x4,3x4-0A-AAD,AAD,0A,1,single,1,2,3x4-0A-AAD.json,2,ET_LRx3_RC_SH,"{""ET"": 1, ""LR"": 3, ""RC"": 1, ""SH"": 1}"
116,,3x4,3x4-0B-AAD,AAD,0B,1,single,1,1,3x4-0B-AAD.json,1,DC_ET_LL_SH_UTx2,"{""DC"": 1, ""ET"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 2}"
117,,3x4,3x4-1A-AAD,AAD,1A,2,multi,2,1,3x4-1A-AAD.json,1,E1_ETx2_SHx2_UT,"{""E1"": 1, ""ET"": 2, ""SH"": 2, ""UT"": 1}"
118,,3x4,3x4-0A-AAC,AAC,0A,1,single,1,2,3x4-0A-AAC.json,2,ET_LC_LL_RC_SH_VL,"{""ET"": 1, ""LC"": 1, ""LL"": 1, ""RC"": 1, ""SH"": 1, ""VL"": 1}"
119,,3x4,3x4-0B-AAC,AAC,0B,1,single,1,1,3x4-0B-AAC.json,1,DS_ET_LC_SH_UTx2,"{""DS"": 1, ""ET"": 1, ""LC"": 1, ""SH"": 1, ""UT"": 2}"
120,,3x4,3x4-0C-AAC,AAC,0C,1,single,1,1,3x4-0C-AAC.json,1,CR_DS_ET_RC_SH_UT,"{""CR"": 1, ""DS"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}"
